[I 2024-10-04 20:18:52,714] A new study created in memory with name: no-name-7c0ec544-147f-47de-90b2-cf5e9575d922
[I 2024-10-04 20:19:05,554] Trial 0 finished with value: 0.9575535597460016 and parameters: {'lambda': 0.03777375844866581, 'alpha': 0.15268515298731478, 'learning_rate': 0.047122436792669475, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.9487496335443051, 'colsample_bytree': 0.5022936147425566, 'num_boost_round': 588}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:19:37,051] Trial 1 finished with value: 0.9483702681127456 and parameters: {'lambda': 0.0703544453941957, 'alpha': 0.001550009092245667, 'learning_rate': 0.08869173720075663, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.8813950300942486, 'colsample_bytree': 0.7186860085993543, 'num_boost_round': 1451}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:20:19,800] Trial 2 finished with value: 0.9462135615437779 and parameters: {'lambda': 0.04957271035244465, 'alpha': 0.5844381195698481, 'learning_rate': 0.1125942665920208, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.8824779799265183, 'colsample_bytree': 0.8121283155282737, 'num_boost_round': 1655}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:20:43,127] Trial 3 finished with value: 0.9450319045773649 and parameters: {'lambda': 0.4732750758791666, 'alpha': 1.3341654938894834, 'learning_rate': 0.17659860311923442, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.654864956659868, 'colsample_bytree': 0.9805415207028904, 'num_boost_round': 940}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:20:49,225] Trial 4 finished with value: 0.9555895664680183 and parameters: {'lambda': 2.155829142517844, 'alpha': 0.7210068190926312, 'learning_rate': 0.13137568150433887, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5402648089174957, 'colsample_bytree': 0.9577313925389719, 'num_boost_round': 548}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:21:12,629] Trial 5 finished with value: 0.950821327818565 and parameters: {'lambda': 0.26707319106758176, 'alpha': 0.6738812441940543, 'learning_rate': 0.08060443151932423, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8557400501704397, 'colsample_bytree': 0.8460212065863417, 'num_boost_round': 1087}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:21:48,461] Trial 6 finished with value: 0.955109732815907 and parameters: {'lambda': 0.08016890093886142, 'alpha': 0.08399700941391201, 'learning_rate': 0.02285425002841108, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.667162129838771, 'colsample_bytree': 0.9704705448151212, 'num_boost_round': 1795}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:22:06,608] Trial 7 finished with value: 0.9568041906047732 and parameters: {'lambda': 0.0013553300733637446, 'alpha': 6.848530572699308, 'learning_rate': 0.07497619042740411, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.9337591550334208, 'colsample_bytree': 0.6662689013879743, 'num_boost_round': 1639}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:22:32,121] Trial 8 finished with value: 0.9489948406199827 and parameters: {'lambda': 1.475501341544677, 'alpha': 0.004094004423198388, 'learning_rate': 0.12917915772319774, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7688093729130405, 'colsample_bytree': 0.6901741466080782, 'num_boost_round': 1849}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:23:04,240] Trial 9 finished with value: 0.9527725283105128 and parameters: {'lambda': 0.5246439431599101, 'alpha': 0.23122698497303987, 'learning_rate': 0.054805519531725744, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.9275705476574803, 'colsample_bytree': 0.5885202124845283, 'num_boost_round': 1408}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:23:20,833] Trial 10 finished with value: 0.946514540260368 and parameters: {'lambda': 0.005756278281815627, 'alpha': 0.02286467849753929, 'learning_rate': 0.2537599592545993, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.9808788926014564, 'colsample_bytree': 0.5047272907226807, 'num_boost_round': 510}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:23:29,269] Trial 11 finished with value: 0.9427302686604125 and parameters: {'lambda': 0.0021527715243282904, 'alpha': 8.927297612880043, 'learning_rate': 0.019805067120879996, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9984746912355582, 'colsample_bytree': 0.6108567373644849, 'num_boost_round': 816}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:24:01,100] Trial 12 finished with value: 0.9538789882209932 and parameters: {'lambda': 0.013870382292725338, 'alpha': 9.464825744131497, 'learning_rate': 0.19011689992989078, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8301638241040917, 'colsample_bytree': 0.5007807627863725, 'num_boost_round': 1992}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:24:20,765] Trial 13 finished with value: 0.9560582443820976 and parameters: {'lambda': 0.0011450675732588296, 'alpha': 0.03190204311070519, 'learning_rate': 0.05071998151496074, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7644774470806835, 'colsample_bytree': 0.6205528935122703, 'num_boost_round': 1295}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:24:35,390] Trial 14 finished with value: 0.9555847208059276 and parameters: {'lambda': 0.015008312557395013, 'alpha': 2.9663437929147407, 'learning_rate': 0.2853149139649708, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9391339707932391, 'colsample_bytree': 0.6670954126757386, 'num_boost_round': 1509}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:24:44,935] Trial 15 finished with value: 0.9573927242443236 and parameters: {'lambda': 6.176019967470143, 'alpha': 0.12786606084991387, 'learning_rate': 0.06440867605967064, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.8155447496669888, 'colsample_bytree': 0.78458853432621, 'num_boost_round': 746}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:24:53,687] Trial 16 finished with value: 0.9480084150220287 and parameters: {'lambda': 4.269427344614218, 'alpha': 0.09406926624914909, 'learning_rate': 0.012164362261093194, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6896465230686586, 'colsample_bytree': 0.8200282731778723, 'num_boost_round': 696}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:25:10,950] Trial 17 finished with value: 0.947420804082262 and parameters: {'lambda': 7.432194216218335, 'alpha': 0.008989306201749907, 'learning_rate': 0.20105575104901302, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8028211403067964, 'colsample_bytree': 0.7675173974641667, 'num_boost_round': 1054}. Best is trial 0 with value: 0.9575535597460016.
[I 2024-10-04 20:25:20,275] Trial 18 finished with value: 0.9562798590114732 and parameters: {'lambda': 0.023504167128020177, 'alpha': 0.20688861746325485, 'learning_rate': 0.04943911494271029, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.5646477463462639, 'colsample_bytree': 0.8891465383678419, 'num_boost_round': 724}. Best is trial 0 with value: 0.9575535597460016.
